time_stamp,cpu,memory,netI,netO,diskR,diskW,workloadLabel
0.0,45.08,1.71,87.84,129.37,0.0,161.4,warm
2.01,89.76,2.09,438.1,666.0,0.0,167.6,warm
4.03,80.49,2.15,802.8,1232.3,0.0,167.6,warm
6.04,84.12,2.22,1159.1,1798.0,0.0,177.8,warm
8.05,84.53,2.23,1469.9,2286.0,0.0,179.8,warm
10.06,72.06,2.26,1722.0,2684.0,0.0,193.0,warm
0.0,15.41,0.99,5.34,10.5,0.0,213.0,High-Low
2.01,117.52,2.29,199.0,299.0,0.0,213.0,High-Low
4.02,110.47,2.32,398.0,604.0,0.0,213.0,High-Low
6.04,115.66,2.33,605.0,937.0,0.0,254.0,High-Low
8.06,65.75,2.34,721.0,1110.0,0.0,254.0,High-Low
10.08,42.71,2.35,804.0,1250.0,0.0,287.0,High-Low
12.09,53.12,2.4,884.0,1370.0,0.0,287.0,High-Low
14.11,51.56,2.41,961.0,1500.0,0.0,381.0,High-Low
16.11,57.89,2.42,1040.0,1620.0,0.0,430.0,High-Low
18.13,46.54,2.42,1110.0,1720.0,0.0,430.0,High-Low
20.15,39.43,2.42,1180.0,1850.0,0.0,541.0,High-Low
22.16,60.66,2.42,1260.0,1970.0,0.0,541.0,High-Low
24.17,44.57,2.43,1330.0,2090.0,0.0,590.0,High-Low
0.0,25.16,1.32,15.1,23.3,0.0,164.0,Low-High
2.01,48.11,2.03,60.8,91.6,0.0,164.0,Low-High
4.03,48.68,2.18,128.0,191.0,0.0,164.0,Low-High
6.05,50.48,2.3,206.0,315.0,0.0,164.0,Low-High
8.06,64.81,2.31,279.0,434.0,0.0,164.0,Low-High
10.07,45.69,2.31,353.0,546.0,0.0,164.0,Low-High
12.08,60.1,2.32,431.0,672.0,0.0,193.0,Low-High
14.09,93.92,2.34,538.0,833.0,0.0,193.0,Low-High
16.1,114.2,2.4,726.0,1130.0,0.0,242.0,Low-High
18.11,110.83,2.38,904.0,1400.0,0.0,242.0,Low-High
20.12,112.65,2.39,1090.0,1700.0,0.0,295.0,Low-High
22.14,108.67,2.4,1260.0,1970.0,0.0,348.0,Low-High
24.15,62.6,2.4,1350.0,2120.0,0.0,348.0,Low-High
0.0,32.54,1.31,63.61,95.16,0.0,147.6,warm
2.01,86.53,2.09,408.9,621.0,0.0,158.6,warm
4.03,80.46,2.17,778.3,1193.9,0.0,158.6,warm
6.04,87.02,2.21,1136.9,1765.0,0.0,160.6,warm
8.05,83.3,2.23,1449.7,2252.0,0.0,160.6,warm
10.07,72.6,2.25,1699.0,2652.0,0.0,173.7,warm
0.0,12.9,1.01,7.2,11.9,0.0,164.0,High
2.01,111.39,2.27,195.0,292.0,0.0,164.0,High
4.03,105.44,2.27,391.0,594.0,0.0,164.0,High
6.04,113.97,2.36,601.0,930.0,0.0,164.0,High
8.05,108.12,2.37,801.0,1240.0,0.0,164.0,High
10.06,110.25,2.37,1000.0,1550.0,0.0,164.0,High
12.07,108.79,2.37,1190.0,1850.0,0.0,164.0,High
14.08,110.26,2.38,1390.0,2170.0,0.0,197.0,High
16.09,81.63,2.41,1550.0,2430.0,0.0,250.0,High
18.11,67.11,2.41,1650.0,2590.0,0.0,250.0,High
0.0,15.32,0.91,3.34,8.23,0.0,164.0,Low
2.01,49.64,2.01,37.8,57.9,0.0,164.0,Low
4.02,46.65,2.15,100.0,150.0,0.0,164.0,Low
6.03,53.09,2.23,170.0,261.0,0.0,164.0,Low
8.05,54.22,2.3,244.0,373.0,0.0,164.0,Low
10.06,43.02,2.31,319.0,494.0,0.0,164.0,Low
12.08,66.46,2.31,395.0,615.0,0.0,193.0,Low
14.08,45.39,2.34,463.0,720.0,0.0,193.0,Low
16.09,56.11,2.35,539.0,842.0,0.0,242.0,Low
18.1,50.7,2.35,605.0,942.0,0.0,242.0,Low
20.12,42.07,2.35,679.0,1060.0,0.0,291.0,Low
22.14,53.22,2.35,753.0,1170.0,0.0,291.0,Low
24.15,43.7,2.36,823.0,1290.0,0.0,340.0,Low
