Container_ID,Name,CPU_percentage,Mem_usage,/,Mem_Limit,Mem_percentage,Net_I,/,Net_O,Block_I,/,Block_O,PIDS,Time_stamp
f131167c3e64,algorand-sandbox-indexer,0.54%,37.85MiB,/,7.668GiB,0.48%,18.5kB,/,18kB,0B,/,0B,10,1686369009.0408762
79c12d1fee8d,algorand-sandbox-algod,33.91%,71.03MiB,/,7.668GiB,0.90%,3.27kB,/,8.23kB,0B,/,0B,22,1686369009.0408762
44b46bdded1c,algorand-sandbox-postgres,0.15%,18.8MiB,/,7.668GiB,0.24%,2.84kB,/,2.63kB,0B,/,32.8kB,8,1686369009.0408762
f131167c3e64,algorand-sandbox-indexer,0.00%,37.85MiB,/,7.668GiB,0.48%,18.6kB,/,18kB,0B,/,0B,10,1686369011.050993
79c12d1fee8d,algorand-sandbox-algod,31.16%,86.22MiB,/,7.668GiB,1.10%,230kB,/,344kB,0B,/,0B,22,1686369011.050993
44b46bdded1c,algorand-sandbox-postgres,0.05%,20.37MiB,/,7.668GiB,0.26%,15.9kB,/,8.81kB,0B,/,217kB,9,1686369011.050993
f131167c3e64,algorand-sandbox-indexer,0.50%,38.11MiB,/,7.668GiB,0.49%,27.7kB,/,32.2kB,0B,/,0B,10,1686369013.070396
79c12d1fee8d,algorand-sandbox-algod,50.77%,112.6MiB,/,7.668GiB,1.43%,928kB,/,1.42MB,0B,/,0B,22,1686369013.070396
44b46bdded1c,algorand-sandbox-postgres,0.37%,20.37MiB,/,7.668GiB,0.26%,29.4kB,/,14.2kB,0B,/,217kB,9,1686369013.070396
f131167c3e64,algorand-sandbox-indexer,0.00%,38.11MiB,/,7.668GiB,0.49%,27.7kB,/,32.2kB,0B,/,0B,10,1686369015.083004
79c12d1fee8d,algorand-sandbox-algod,36.76%,136.5MiB,/,7.668GiB,1.74%,1.65MB,/,2.55MB,0B,/,0B,22,1686369015.083004
44b46bdded1c,algorand-sandbox-postgres,0.03%,20.37MiB,/,7.668GiB,0.26%,29.4kB,/,14.2kB,0B,/,217kB,9,1686369015.083004
f131167c3e64,algorand-sandbox-indexer,0.00%,40.37MiB,/,7.668GiB,0.51%,46.9kB,/,70.5kB,0B,/,0B,10,1686369017.098874
79c12d1fee8d,algorand-sandbox-algod,51.41%,158.4MiB,/,7.668GiB,2.02%,2.29MB,/,3.56MB,0B,/,0B,22,1686369017.098874
44b46bdded1c,algorand-sandbox-postgres,0.02%,20.46MiB,/,7.668GiB,0.26%,66.9kB,/,19.4kB,0B,/,217kB,9,1686369017.098874
f131167c3e64,algorand-sandbox-indexer,5.36%,42.21MiB,/,7.668GiB,0.54%,63.7kB,/,104kB,0B,/,0B,10,1686369019.109853
79c12d1fee8d,algorand-sandbox-algod,42.25%,162.9MiB,/,7.668GiB,2.08%,2.6MB,/,4.06MB,0B,/,0B,22,1686369019.109853
44b46bdded1c,algorand-sandbox-postgres,0.43%,20.52MiB,/,7.668GiB,0.26%,99.4kB,/,24.5kB,0B,/,217kB,9,1686369019.109853
f131167c3e64,algorand-sandbox-indexer,0.00%,42.16MiB,/,7.668GiB,0.54%,63.7kB,/,104kB,0B,/,0B,10,1686369021.125768
79c12d1fee8d,algorand-sandbox-algod,20.52%,165.1MiB,/,7.668GiB,2.10%,2.76MB,/,4.33MB,0B,/,0B,22,1686369021.125768
44b46bdded1c,algorand-sandbox-postgres,0.19%,20.54MiB,/,7.668GiB,0.26%,99.5kB,/,24.5kB,0B,/,217kB,9,1686369021.125768
f131167c3e64,algorand-sandbox-indexer,0.55%,42.54MiB,/,7.668GiB,0.54%,76.4kB,/,128kB,0B,/,0B,10,1686369023.140314
79c12d1fee8d,algorand-sandbox-algod,29.74%,165.5MiB,/,7.668GiB,2.11%,2.87MB,/,4.51MB,0B,/,32.8kB,22,1686369023.140314
44b46bdded1c,algorand-sandbox-postgres,0.47%,20.55MiB,/,7.668GiB,0.26%,124kB,/,29.6kB,0B,/,217kB,9,1686369023.140314
f131167c3e64,algorand-sandbox-indexer,0.00%,43.16MiB,/,7.668GiB,0.55%,8.57kB,/,4.43kB,0B,/,0B,10,1686369028.290967
79c12d1fee8d,algorand-sandbox-algod,16.10%,69.25MiB,/,7.668GiB,0.88%,2.6kB,/,4.52kB,0B,/,164kB,19,1686369028.290967
44b46bdded1c,algorand-sandbox-postgres,0.29%,18.27MiB,/,7.668GiB,0.23%,2.84kB,/,2.56kB,0B,/,28.7kB,8,1686369028.290967
f131167c3e64,algorand-sandbox-indexer,0.00%,43.56MiB,/,7.668GiB,0.55%,18.5kB,/,17.6kB,0B,/,0B,10,1686369030.3159292
79c12d1fee8d,algorand-sandbox-algod,18.88%,86.03MiB,/,7.668GiB,1.10%,26.2kB,/,38kB,0B,/,164kB,22,1686369030.3159292
44b46bdded1c,algorand-sandbox-postgres,0.12%,19.91MiB,/,7.668GiB,0.25%,15.3kB,/,8.74kB,0B,/,28.7kB,9,1686369030.3159292
f131167c3e64,algorand-sandbox-indexer,0.38%,43.7MiB,/,7.668GiB,0.56%,27.7kB,/,30.7kB,0B,/,0B,10,1686369032.3308108
79c12d1fee8d,algorand-sandbox-algod,64.74%,156.1MiB,/,7.668GiB,1.99%,499kB,/,760kB,0B,/,164kB,23,1686369032.3308108
44b46bdded1c,algorand-sandbox-postgres,0.37%,19.91MiB,/,7.668GiB,0.25%,27.8kB,/,14.2kB,0B,/,217kB,9,1686369032.3308108
