start_time,end_time,experiment_duration,appId,iterationCallApp,firstQuarterSleepTime,secondQuarterSleepTime,thirdQuarterSleepTime,forthQuarterSleepTime,sleepTimeCheckConfirmation,AvgCPU_Percentage,AvgMem_Percentage,NetInput,NetOut,DiskRead,DiskWrite,toAnalyze,toAverage,workloadLabel
1686369009.5980392,1686369022.0641222,12.46608304977417,1,90,0.01,0.01,0.01,0.01,0.1,38.81,1.75,2760.0,4330.0,0.0,0.0,No,No,warm
1686369029.615222,1686369042.079231,12.464009046554564,1,90,0.01,0.01,0.01,0.01,0.1,50.81,1.91,2310.0,3610.0,0.0,164.0,No,No,warm
1686369049.5611892,1686369065.4922812,15.931092023849487,1,90,0.01,0.01,0.01,0.01,0.1,57.5,2.13,2340.0,3680.0,0.0,197.0,No,No,warm
1686369072.7523148,1686369088.675898,15.923583269119264,1,90,0.01,0.01,0.01,0.01,0.1,65.82,2.16,2190.0,3430.0,0.0,238.0,No,No,warm
1686369096.149836,1686369112.104762,15.954926013946531,1,90,0.01,0.01,0.01,0.01,0.1,70.89,2.24,2030.0,3190.0,0.0,197.0,No,No,warm
1686369119.401077,1686369135.3190668,15.91798973083496,1,90,0.01,0.01,0.01,0.01,0.1,78.81,2.21,1920.0,3010.0,0.0,442.0,No,No,warm
1686369142.566559,1686369161.944285,19.377725839614868,1,90,0.01,0.01,0.01,0.01,0.1,74.52,2.16,1930.0,3030.0,0.0,254.0,No,No,warm
1686369169.334307,1686369188.6530712,19.318764209747314,1,90,0.01,0.01,0.01,0.01,0.1,81.01,2.31,1870.0,2940.0,0.0,336.0,No,No,warm
1686369196.1500218,1686369215.557588,19.40756607055664,1,90,0.01,0.01,0.01,0.01,0.1,88.94,2.28,1770.0,2770.0,0.0,496.0,No,No,warm
1686369223.061426,1686369242.5829592,19.52153325080872,1,90,0.01,0.01,0.01,0.01,0.1,97.38,2.29,1650.0,2590.0,0.0,336.0,No,No,warm
1686369273.785562,1686369299.930378,26.144815921783447,1,90,0.01,0.01,0.2,0.2,0.1,63.18,2.27,1330.0,2090.0,0.0,590.0,No,No,High-Low
1686369320.076732,1686369346.4507468,26.374014854431152,1,90,0.2,0.2,0.01,0.01,0.1,72.76,2.24,1350.0,2120.0,0.0,348.0,No,No,Low-High
1686369424.611705,1686369436.991211,12.37950587272644,1,90,0.01,0.01,0.01,0.01,0.1,36.66,1.73,2770.0,4350.0,0.0,0.0,No,No,warm
1686369444.469474,1686369457.075372,12.605897903442385,1,90,0.01,0.01,0.01,0.01,0.1,51.35,1.93,2320.0,3640.0,0.0,164.0,No,No,warm
1686369464.448338,1686369480.1907918,15.742453813552856,1,90,0.01,0.01,0.01,0.01,0.1,55.86,2.15,2340.0,3680.0,0.0,266.0,No,No,warm
1686369487.590912,1686369503.5714471,15.98053503036499,1,90,0.01,0.01,0.01,0.01,0.1,62.65,2.09,2160.0,3380.0,0.0,197.0,No,No,warm
1686369510.859503,1686369526.812966,15.953462839126589,1,90,0.01,0.01,0.01,0.01,0.1,67.57,2.05,2000.0,3140.0,0.0,238.0,No,No,warm
1686369534.354846,1686369550.250029,15.895183086395264,1,90,0.01,0.01,0.01,0.01,0.1,77.7,2.15,1880.0,2950.0,0.0,377.0,No,No,warm
1686369557.779262,1686369577.227241,19.447978973388672,1,90,0.01,0.01,0.01,0.01,0.1,74.12,2.18,1930.0,3030.0,0.0,315.0,No,No,warm
1686369584.721308,1686369603.894196,19.172888040542603,1,90,0.01,0.01,0.01,0.01,0.1,79.48,2.24,1860.0,2920.0,0.0,254.0,No,No,warm
1686369611.481217,1686369630.806428,19.32521104812622,1,90,0.01,0.01,0.01,0.01,0.1,85.69,2.19,1790.0,2810.0,0.0,336.0,No,No,warm
1686369638.346998,1686369657.771379,19.424381017684937,1,90,0.01,0.01,0.01,0.01,0.1,97.9,2.3,1660.0,2600.0,0.0,254.0,No,No,warm
1686369678.751622,1686369698.036512,19.284889936447144,1,90,0.01,0.01,0.01,0.01,0.1,92.99,2.22,1650.0,2590.0,0.0,250.0,No,No,High
1686369728.707327,1686369761.556279,32.84895205497742,1,90,0.2,0.2,0.2,0.2,0.1,50.2,2.22,1110.0,1740.0,0.0,459.0,No,No,Low
1686370275.340631,1686370287.880648,12.540016889572144,1,90,0.01,0.01,0.01,0.01,0.1,36.88,1.74,2760.0,4330.0,0.0,0.0,No,No,warm
1686370295.409206,1686370307.927778,12.518572092056274,1,90,0.01,0.01,0.01,0.01,0.1,49.58,1.97,2310.0,3610.0,0.0,164.0,No,No,warm
1686370315.463053,1686370331.411674,15.948621034622192,1,90,0.01,0.01,0.01,0.01,0.1,57.4,2.16,2350.0,3690.0,0.0,266.0,No,No,warm
1686370339.063992,1686370355.036748,15.972755908966064,1,90,0.01,0.01,0.01,0.01,0.1,66.36,2.23,2180.0,3430.0,0.0,238.0,No,No,warm
1686370362.620933,1686370378.442164,15.8212308883667,1,90,0.01,0.01,0.01,0.01,0.1,69.96,2.07,2000.0,3140.0,0.0,197.0,No,No,warm
1686370386.064984,1686370401.9432452,15.878261089324951,1,90,0.01,0.01,0.01,0.01,0.1,82.04,2.26,1940.0,3040.0,0.0,426.0,No,No,warm
1686370409.248374,1686370428.7021298,19.453755855560303,1,90,0.01,0.01,0.01,0.01,0.1,81.49,2.29,1910.0,3000.0,0.0,254.0,No,No,warm
1686370436.2869718,1686370455.723029,19.43605709075928,1,90,0.01,0.01,0.01,0.01,0.1,79.95,2.23,1860.0,2920.0,4.1,336.0,No,No,warm
1686370463.107424,1686370482.431628,19.324203968048096,1,90,0.01,0.01,0.01,0.01,0.1,92.39,2.26,1740.0,2720.0,0.0,254.0,No,No,warm
1686370489.904924,1686370509.424185,19.51926112174988,1,90,0.01,0.01,0.01,0.01,0.1,95.19,2.32,1660.0,2600.0,0.0,332.0,No,No,warm
1686370738.9967182,1686370768.751157,29.75443887710572,1,90,0.01,0.2,0.01,0.2,0.1,69.0,2.3,1280.0,2020.0,0.0,164.0,No,No,High-Low-High-Low
1686371067.45783,1686371079.942246,12.484416007995604,1,90,0.01,0.01,0.01,0.01,0.1,36.76,1.81,2740.0,4300.0,0.0,0.0,No,No,warm
1686371087.734171,1686371103.265522,15.53135108947754,1,90,0.01,0.01,0.01,0.01,0.1,43.27,1.99,2360.0,3700.0,0.0,221.0,No,No,warm
1686371110.9673789,1686371126.66748,15.700101137161257,1,90,0.01,0.01,0.01,0.01,0.1,50.5,2.05,2180.0,3430.0,0.0,197.0,No,No,warm
1686371134.321291,1686371150.169523,15.84823203086853,1,90,0.01,0.01,0.01,0.01,0.1,60.5,2.09,2060.0,3220.0,0.0,197.0,No,No,warm
1686371157.677173,1686371173.631171,15.95399808883667,1,90,0.01,0.01,0.01,0.01,0.1,63.6,2.09,1840.0,2880.0,0.0,242.0,No,No,warm
1686371181.323954,1686371200.515357,19.19140315055847,1,90,0.01,0.01,0.01,0.01,0.1,68.77,2.23,1960.0,3080.0,0.0,455.0,No,No,warm
1686371208.916109,1686371227.5791092,18.663000106811523,1,90,0.01,0.01,0.01,0.01,0.1,82.73,2.33,1900.0,2990.0,0.0,340.0,No,No,warm
1686371235.163268,1686371254.604828,19.44155979156494,1,90,0.01,0.01,0.01,0.01,0.1,76.24,2.17,1830.0,2870.0,0.0,254.0,No,No,warm
1686371262.1083362,1686371281.383432,19.27509570121765,1,90,0.01,0.01,0.01,0.01,0.1,84.33,2.28,1770.0,2780.0,0.0,332.0,No,No,warm
1686371288.945652,1686371308.310602,19.36494994163513,1,90,0.01,0.01,0.01,0.01,0.1,97.21,2.33,1650.0,2590.0,0.0,254.0,No,No,warm
1686371378.788461,1686371400.87058,22.08211898803711,1,90,0.01,0.01,0.01,0.01,0.1,90.97,2.28,1670.0,2620.0,0.0,303.0,No,No,Bigger Size
1686371437.6554308,1686371450.1726289,12.517198085784912,1,45,0.01,0.01,0.01,0.01,0.1,81.86,2.05,777.0,1220.0,0.0,164.0,No,No,Fewer Iterations
1686372601.047673,1686372615.269099,14.221426010131836,1,90,0.01,0.01,0.01,0.01,0.1,41.41,2.14,2780.0,4440.0,28.7,381.0,No,No,warm
1686372622.868504,1686372635.3890188,12.520514726638794,1,90,0.01,0.01,0.01,0.01,0.1,54.94,2.17,2240.0,3530.0,131.0,655.0,No,No,warm
1686372642.918706,1686372658.792127,15.87342095375061,1,90,0.01,0.01,0.01,0.01,0.1,60.86,2.23,2260.0,3590.0,4.1,745.0,No,No,warm
1686372666.4405272,1686372682.325817,15.885289907455444,1,90,0.01,0.01,0.01,0.01,0.1,65.39,2.22,2110.0,3350.0,201.0,717.0,No,No,warm
1686372689.852426,1686372705.952897,16.100471019744873,1,90,0.01,0.01,0.01,0.01,0.1,67.44,2.26,1950.0,3080.0,8.19,987.0,No,No,warm
1686372713.36069,1686372729.428712,16.06802201271057,1,90,0.01,0.01,0.01,0.01,0.1,78.67,2.28,1870.0,2950.0,0.0,713.0,No,No,warm
1686372736.996077,1686372756.246757,19.2506799697876,1,90,0.01,0.01,0.01,0.01,0.1,82.78,2.34,1870.0,2980.0,8.19,872.0,No,No,warm
1686372763.628741,1686372783.019232,19.390491008758545,1,90,0.01,0.01,0.01,0.01,0.1,89.18,2.4,1800.0,2860.0,0.0,795.0,No,No,warm
1686372790.557593,1686372810.016167,19.458573818206787,1,90,0.01,0.01,0.01,0.01,0.1,94.27,2.39,1680.0,2670.0,0.0,758.0,No,No,warm
1686372817.55785,1686372837.180566,19.622715950012207,1,90,0.01,0.01,0.01,0.01,0.1,92.07,2.34,1690.0,2690.0,0.0,655.0,No,No,warm
1686372866.382147,1686372885.617316,19.235168933868408,1,90,0.01,0.01,0.01,0.01,0.1,100.01,2.41,1650.0,2620.0,0.0,791.0,No,No,High-20-Nodes
1686613283.586881,1686613285.4144928,1.8276119232177728,1,90,0.01,0.01,0.01,0.01,0.1,16.32,1.02,28.8,47.7,0.0,8.19,No,No,warm
1686613293.077376,1686613294.913023,1.8356471061706543,1,90,0.01,0.01,0.01,0.01,0.1,6.21,0.83,2.67,4.48,0.0,164.0,No,No,warm
1686613302.28852,1686613304.1044202,1.8159003257751465,1,90,0.01,0.01,0.01,0.01,0.1,30.29,1.19,109.0,181.0,0.0,516.0,No,No,warm
1686613311.5995631,1686613313.444353,1.844789981842041,1,90,0.01,0.01,0.01,0.01,0.1,33.44,1.35,114.0,190.0,73.7,537.0,No,No,warm
1686613320.756427,1686613322.603339,1.846911907196045,1,90,0.01,0.01,0.01,0.01,0.1,31.21,1.27,114.0,190.0,0.0,532.0,No,No,warm
1686613329.934342,1686613331.784875,1.85053300857544,1,90,0.01,0.01,0.01,0.01,0.1,30.34,1.33,111.0,186.0,36.9,524.0,No,No,warm
1686613339.222996,1686613341.115625,1.8926289081573489,1,90,0.01,0.01,0.01,0.01,0.1,27.24,1.25,101.0,168.0,4.1,475.0,No,No,warm
1686613349.637625,1686613351.60512,1.9674949645996087,1,90,0.01,0.01,0.01,0.01,0.1,18.83,1.16,57.5,96.5,0.0,164.0,No,No,warm
1686613360.350572,1686613362.319013,1.9684410095214844,1,90,0.01,0.01,0.01,0.01,0.1,30.15,1.34,106.0,178.0,0.0,164.0,No,No,warm
1686613369.760231,1686613371.58977,1.829539060592652,1,90,0.01,0.01,0.01,0.01,0.1,22.31,1.24,69.9,118.0,98.3,164.0,No,No,warm
1686613787.760676,1686613791.0191302,3.2584540843963623,1,140,0.01,0.01,0.01,0.01,0.1,27.61,1.43,259.0,433.0,16.4,164.0,No,No,new-block
